"KINDPATENT","Patent office","KINDREGION","Reference region","REGIONS","Regions","TECHNO","Total patents and by technologies","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2008","2008","NBR","Number","0","Units",,,0.5,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2009","2009","NBR","Number","0","Units",,,0.8333,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2010","2010","NBR","Number","0","Units",,,1.3333,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2011","2011","NBR","Number","0","Units",,,5.6667,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2012","2012","NBR","Number","0","Units",,,3.9167,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","1998","1998","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","1999","1999","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2000","2000","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2001","2001","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2002","2002","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2003","2003","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2004","2004","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2005","2005","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2006","2006","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2007","2007","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2008","2008","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2009","2009","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2010","2010","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2011","2011","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","BIOTECH","Biotechnology","2012","2012","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","1998","1998","NBR","Number","0","Units",,,0.25,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","1999","1999","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2000","2000","NBR","Number","0","Units",,,1,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2001","2001","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2002","2002","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2003","2003","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2004","2004","NBR","Number","0","Units",,,1.5,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2005","2005","NBR","Number","0","Units",,,0.1667,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2006","2006","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2007","2007","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2008","2008","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2009","2009","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2010","2010","NBR","Number","0","Units",,,1,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2011","2011","NBR","Number","0","Units",,,3.6667,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","ICT","ICT","2012","2012","NBR","Number","0","Units",,,2.6667,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","1998","1998","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","1999","1999","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2000","2000","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2001","2001","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2002","2002","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2003","2003","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2004","2004","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2005","2005","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2006","2006","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2007","2007","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2008","2008","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2009","2009","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2010","2010","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2011","2011","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","NANOTECH","Nanotechnology","2012","2012","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","1998","1998","PC","Percentage","0","Units",,,0.0782,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","1999","1999","PC","Percentage","0","Units",,,0.1705,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2000","2000","PC","Percentage","0","Units",,,0.2783,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2001","2001","PC","Percentage","0","Units",,,0.1297,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2002","2002","PC","Percentage","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2003","2003","PC","Percentage","0","Units",,,0.2316,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2004","2004","PC","Percentage","0","Units",,,0.2131,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2005","2005","PC","Percentage","0","Units",,,0.0125,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2006","2006","PC","Percentage","0","Units",,,0.1654,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2007","2007","PC","Percentage","0","Units",,,0.1033,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2008","2008","PC","Percentage","0","Units",,,0.0393,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2009","2009","PC","Percentage","0","Units",,,0.0634,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2010","2010","PC","Percentage","0","Units",,,0.0958,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2011","2011","PC","Percentage","0","Units",,,0.4218,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL_SHARE","Share of region in country's total patents","2012","2012","PC","Percentage","0","Units",,,0.2401,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","1998","1998","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","1999","1999","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2000","2000","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2001","2001","NBR","Number","0","Units",,,0.5,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2002","2002","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2003","2003","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2004","2004","NBR","Number","0","Units",,,1,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2005","2005","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2006","2006","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2007","2007","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2008","2008","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2009","2009","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2010","2010","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2011","2011","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","MEDICAL","Medical technology","2012","2012","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","1998","1998","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","1999","1999","NBR","Number","0","Units",,,0.5,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2000","2000","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2001","2001","NBR","Number","0","Units",,,0.5,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2002","2002","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2003","2003","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2004","2004","NBR","Number","0","Units",,,0.5,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2005","2005","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2006","2006","NBR","Number","0","Units",,,0.5,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2007","2007","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2008","2008","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2009","2009","NBR","Number","0","Units",,,0.3333,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2010","2010","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2011","2011","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","PHARMA","Pharmaceuticals","2012","2012","NBR","Number","0","Units",,,0,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","1998","1998","NBR","Number","0","Units",,,5.25,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","1999","1999","NBR","Number","0","Units",,,4.2778,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2000","2000","NBR","Number","0","Units",,,10.0833,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2001","2001","NBR","Number","0","Units",,,3.4167,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2002","2002","NBR","Number","0","Units",,,4.5929,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2003","2003","NBR","Number","0","Units",,,2.8333,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2004","2004","NBR","Number","0","Units",,,10.3611,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2005","2005","NBR","Number","0","Units",,,5.6111,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2006","2006","NBR","Number","0","Units",,,14.5667,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2007","2007","NBR","Number","0","Units",,,5.3429,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2008","2008","NBR","Number","0","Units",,,7.0667,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2009","2009","NBR","Number","0","Units",,,10.2833,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2010","2010","NBR","Number","0","Units",,,10.6111,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2011","2011","NBR","Number","0","Units",,,8.8167,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2012","2012","NBR","Number","0","Units",,,6.6471,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","MEDICAL","Medical technology","2013","2013","NBR","Number","0","Units",,,11.7333,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","1998","1998","NBR","Number","0","Units",,,13.1393,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","1999","1999","NBR","Number","0","Units",,,16.319,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2000","2000","NBR","Number","0","Units",,,18.5095,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2001","2001","NBR","Number","0","Units",,,14.3564,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2002","2002","NBR","Number","0","Units",,,16.9595,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2003","2003","NBR","Number","0","Units",,,17.0519,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2004","2004","NBR","Number","0","Units",,,16.2032,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2005","2005","NBR","Number","0","Units",,,14.5409,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2006","2006","NBR","Number","0","Units",,,14.3095,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2007","2007","NBR","Number","0","Units",,,18.5004,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2008","2008","NBR","Number","0","Units",,,16.0218,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2009","2009","NBR","Number","0","Units",,,14.1607,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2010","2010","NBR","Number","0","Units",,,13.9754,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2011","2011","NBR","Number","0","Units",,,11.58,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2012","2012","NBR","Number","0","Units",,,9.3413,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE23","Prov. Oost-Vlaanderen","PHARMA","Pharmaceuticals","2013","2013","NBR","Number","0","Units",,,13.4635,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE24","Prov. Vlaams Brabant","TOTAL","Total Patents","1998","1998","NBR","Number","0","Units",,,122.6554,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE24","Prov. Vlaams Brabant","TOTAL","Total Patents","1999","1999","NBR","Number","0","Units",,,147.9929,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE24","Prov. Vlaams Brabant","TOTAL","Total Patents","2000","2000","NBR","Number","0","Units",,,136.7351,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE24","Prov. Vlaams Brabant","TOTAL","Total Patents","2001","2001","NBR","Number","0","Units",,,130.4548,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE24","Prov. Vlaams Brabant","TOTAL","Total Patents","2002","2002","NBR","Number","0","Units",,,120.0551,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE24","Prov. Vlaams Brabant","TOTAL","Total Patents","2003","2003","NBR","Number","0","Units",,,135.8918,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE24","Prov. Vlaams Brabant","TOTAL","Total Patents","2004","2004","NBR","Number","0","Units",,,152.3943,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","BE24","Prov. Vlaams Brabant","TOTAL","Total Patents","2005","2005","NBR","Number","0","Units",,,160.2492,,
